Banco,Sector,Tipo,Resumen,Descripción,Ref2024,Ref2025,Alerta
ING,Power,F,Fuerte descenso de la intensidad de emisiones de la cartera impulsado por una alta canalización de capital hacia la financiación de proyectos renovables.,"La intensidad de emisiones de la cartera ha caído de forma destacada, pasando de 63 kg CO2e/MWh en 2024 a 43.6 kg CO2e/MWh en 2025, lo cual ha estado acompañado de una subida del volumen de la cartera desde los 11.5 mil millones de euros hasta los 13.3 mil millones de euros, impulsada fuertemente por la financiación de proyectos de energías renovables.",pag 111,pag 113,
ING,Power,F,"Incremento notable del apetito de riesgo en energías limpias, elevando los compromisos financieros en eólica y solar a 9.600 millones de euros.",Los compromisos en energía eólica y solar aumentaron de €7.0 mil millones en el Informe 2024 a €9.6 mil millones en el Informe 2025.,pag 4,pag 4,
ING,Power,M,"Actualización metodológica del año base para la medición de la huella operativa del banco, saltando de 2014 a 2023.","En el Informe 2025 se establece 2023 como nuevo año base para la huella operativa, sustituyendo la referencia de 2014 utilizada en el Informe 2024.",pag 20,pag 21,
ING,Steel,M,"Adopción del estándar de los Principios del Acero Sostenible (SSP), que evidencia una mejora real en la intensidad de la cartera pese a mostrar una desviación temporal.","El banco ha actualizado la presentación de su métrica de alineación según la guía más reciente de los Principios del Acero Sostenible (SSP), pasando de reportar un ""SSP Alignment score"" (0.83 en 2024) a una desviación porcentual ""SSP percentage deviation"" (+5.4% en 2025), logrando pese a dicha desviación temporal una mejora real en la intensidad de emisiones de la cartera al pasar de 1.93 a 1.90 t CO2/t acero sobre una exposición que aumentó de 2.0 a 2.1 mil millones de euros.",pag 111,pag 113,
ING,Steel,M,"Limitación detectada en el modelo de medición, que actualmente no captura el impacto positivo en riesgo climático derivado de financiar proyectos de ""acero verde"".","El Informe 2025 señala que la metodología actual aún no refleja el impacto de la financiación de proyectos de ""acero verde"" en fase de desarrollo.",,,
ING,Automotive,D,Ligero deterioro en la intensidad de la cartera provocado por un efecto composición: los clientes más emisores aumentaron las disposiciones de sus líneas de crédito.,"La intensidad de las emisiones se ha incrementado levemente, pasando de 0.146 kg CO2/vkm en 2024 a 0.150 kg CO2/vkm en 2025 para un volumen de cartera estable de 4.0 mil millones de euros, dinámica impulsada por aumentos de saldos en clientes específicos de alta intensidad que compensaron las reducciones promedio del resto del portfolio.",pag 111,pag 120,
ING,Cement,D,Empeoramiento de la métrica de intensidad explicado por un mayor uso de las facilidades crediticias por parte de los clientes con peores ratios de emisiones.,"La intensidad ha sufrido un leve incremento, pasando de 0.688 t CO2/t cemento en 2024 a 0.695 t CO2/t cemento en 2025, al mismo tiempo que el volumen de la cartera disminuyó de 0.7 a 0.6 mil millones de euros,ya que algunos clientes con mayor intensidad de emisiones aumentaron su uso de las líneas de crédito, mientras que los clientes con menor intensidad de emisiones redujeron su exposición pendiente.",pag 111,pag 118,
ING,Aviation,D,"Repunte de intensidad y aumento de exposición originado por distorsiones temporales de liquidez, concretamente pagos anticipados en aeronaves menos contaminantes.","El volumen de compromisos financieros en la aviación se ha incrementado de 4.1 a 4.8 mil millones de euros entre los reportes de 2024 y 2025, mientras que la intensidad de emisiones repuntó un 2%, pasando de 844 a 861 g CO2e/RTK, atribuido en el informe a pagos anticipados en facilidades de aviones de menores emisiones que alteraron de manera temporal la ponderación de la cartera.",pag 111,pag 121,
ING,Shipping,M/F,"Mejora continua en la senda de alineamiento a 1.5°C, respaldada por la inversión de los clientes en eficiencia y el entorno regulatorio marítimo más estricto.","El delta de alineación frente al escenario de 1.5°C se ha mantenido en terreno negativo (alineado), aunque moderándose desde el -7.6% en 2024 al -4.6% en 2025, respaldado por un volumen de cartera que se mantuvo estable en 8.6 mil millones de euros. La reducción se debe principalmente a las inversiones realizadas por sus clientes en tecnologías de eficiencia energética y reducción de emisiones.El cambio se debe principalmente a las variaciones en los segmentos de graneleros y petrolerosde su cartera, que han tenido un impacto más significativo en la intensidad media ponderadaeste año. Las normativas medioambientales internacionales, cada vez más estrictas,también son un factor que contribuye a ello.",pag 111,pag 122,
ING,CRE,F,Adopción del estándar CRREM que aflora una importante mejora en la intensidad climática de los activos inmobiliarios comerciales en un contexto de crecimiento del saldo.,"Tras un ajuste en los factores de emisión para alinearlos estrictamente con el modelo CRREM (pasando de factores ""Well-to-Wheel"" a ""Tank-to-Wheel""), la línea base de 2022 ha sido ajustada a 37.0 kg CO2e/m2, reportando así una importante mejora en la intensidad de emisiones desde los 39.5 kg CO2e/m2 en 2024 a 34.0 kg CO2e/m2 en 2025, para una exposición que creció de 26.2 a 27.8 mil millones de euros.",-,"pag 123
pag 367",
ING,RRE,F,"Dinámica muy positiva en el sector hipotecario, logrando reducir la intensidad de emisiones simultáneamente a un fuerte crecimiento del volumen financiado.","La intensidad de emisiones del sector hipotecario mejoró con respecto al año anterior, descendiendo de 37.5 kg CO2e/m2 en 2024 a 35.5 kg CO2e/m2 en 2025, en paralelo a un fuerte crecimiento del volumen de la cartera bajo medición, que pasó de 294.3 a 315.0 mil millones de euros.",pag 111,pag 113,
ING,Coal,F,"Cumplimiento estricto del plan de salida del carbón, reflejado en la amortización continuada de la financiación directa a plantas de generación eléctrica.","En línea con su compromiso de salida del carbón, la financiación a plantas individuales de generación a carbón (coal-fired power plants) ha continuado su senda de amortización, descendiendo de 77 millones de euros en 2024 a 63 millones de euros en 2025.",,,
ING,Coal,F,"Drástica reducción del riesgo de transición en la cartera, manteniendo a un único cliente por encima del umbral del 5% de actividad en carbón térmico.",En 2025 se identifica que queda un solo cliente por encima del umbral del 5% de actividad en carbón térmico (mantenido por mandato gubernamental en la UE para seguridad energética).,-,pag 114,
ING,Aluminium,M,Expansión del marco metodológico Terra para integrar la medición del sector aluminio,"El banco indica expresamente que ha comenzado a incorporar el sector del aluminio en el perímetro de su metodología Terra, por lo que sus planes de transición se encuentran actualmente en desarrollo y no se reportan objetivos ni valores numéricos consolidados de intensidad.",,,
ING,Agriculture,M,"Ampliación del mapa de riesgos climáticos al incorporar el sector lácteo, para el cual los objetivos de transición se encuentran en proceso de desarrollo.","Al igual que en el caso del aluminio, el banco menciona la actividad láctea (Dairy, segmento agrícola) como un nuevo perímetro cuyos planes de transición se encuentran todavía en fase de desarrollo.",,,
Standard Chartered,Oil&Gas,M,"El Informe 2025 cambia la metodología de emisiones a Alcance 3 upstream, ajustando el valor de 2024 y reportando 7,2 MtCO2e para 2025.","El Informe 2025 revela un cambio en el enfoque de aproximación (proxy) para determinar las emisiones del sector; ahora solo contabiliza las emisiones de Alcance 3 en actividades de producción upstream (incluyendo contrapartes diversificadas e integradas), basándose en mejoras en la calidad de los datos. Debido al cambio metodológico, el Informe 2025 redefine el valor de emisiones financiadas absolutas de 2024, pasando de 9,4 MtCO2e a 8,76 MtCO2e.",pag 85,pag 105,
Standard Chartered,Power,F,"La intensidad de emisiones del sector energético disminuyó de 0,43 a 0,39 tCO2/MWh entre 2024 y 2025 debido a la menor exposición al carbón y al aumento del financiamiento en energías renovables.","La intensidad descendió de 0,43 tCO2/MWh en el Informe 2024 a 0,39 tCO2/MWh en el Informe 2025. 
El banco atribuye esta mejora a la reducción de la exposición a la generación de energía con carbón térmico a medida que los balances vencen, y al aumento de la financiación de proyectos de energías renovables y gas de menor intensidad.",pag 80,"pag 100
pag 105",
Standard Chartered,Steel,F,"La intensidad de emisiones disminuyó de 1,87 a 1,75 tCO2/t debido a una mayor proporción de clientes que utilizan hornos de arco eléctrico con chatarra.","El Informe 2024 reportó 1,87 tCO2/t (datos 2023). El Informe 2025 reporta 1,75 tCO2/t (datos 2024). Esto se debe a un mayor peso en la cartera de clientes que utilizan chatarra (hornos de arco eléctrico) frente a los que usan mineral de hierro en altos hornos.",pag 82,pag 100,
Standard Chartered,Automotive,F,El nivel de emisiones reportado disminuyó de 157 gCO2/Vkm en el informe de 2024 a 145 gCO2/Vkm en el de 2025.,El Informe 2024 reportó 157 gCO2/Vkm (datos 2023). El Informe 2025 reporta 145 gCO2/Vkm (datos 2024). ,pag 82,pag 100,
Standard Chartered,Automotive,D,El Informe 2025 proyecta una desaceleración en la trayectoria de descarbonización a corto plazo debido a la flexibilización de políticas ambientales y la vigencia de los motores de combustión.,"El Informe 2025 señala ""vientos en contra"" por la suavización de las políticas de descarbonización y el reconocimiento de los fabricantes de que la producción de motores de combustión interna seguirá siendo significativa, lo que podría aplanar la trayectoria de descarbonización a corto plazo.",-,pag 103,
Standard Chartered,Cement,F,"La intensidad de emisiones disminuyó de 0,62 a 0,60 tCO2/t debido a la optimización energética en las plantas de los clientes financiados y al mayor uso de sustitutos del clínker.","El Informe 2024 reportó 0,62 tCO2/t (datos 2023). El Informe 2025 reporta una disminución a 0,60 tCO2/t (datos 2024). Se debe al aumento de préstamos a clientes con menores intensidades de producción gracias a mejoras en la eficiencia energética de sus plantas y al mayor uso de sustitutos del clínker.",pag 80,pag 102,
Standard Chartered,Aviation,F,"La intensidad de emisiones se redujo a 771 gCO2e/RTK en 2025, logrando situarse por debajo de la meta establecida para 2030.","La intensidad descendió de 782 gCO2e/RTK en el Informe 2024 a 771 gCO2e/RTK en el Informe 2025, situándose por debajo del objetivo 2030 (773).",pag 82,pag 103,
Standard Chartered,Aviation,F,"El Informe 2025 presenta por primera vez el desglose de las emisiones de Alcance 1, 2 y 3 para el sector.","El Informe 2025 desagrega por primera vez las emisiones de Alcance 1 y 2 (1,0 MtCO2e) y Alcance 3 (0,2 MtCO2e) del sector.",-,pag 101,
Standard Chartered,Shipping,F,"El diferencial de alineación mostró una mejora sustancial al pasar del +3,2% en 2024 al -0,9% en 2025.","El alignment delta experimentó una mejora significativa, pasando del +3,2 % reportado en el informe de 2024 al -0,9 % en el de 2025. Esto sitúa la métrica muy cerca del objetivo de valor cero fijado para 2030.",pag 80,"pag 98,104",
Standard Chartered,Shipping,M,"El Informe 2025 detalla por primera vez las emisiones de Alcance 1, 2 y 3 del sector marítimo, sumando un total de 3,0 MtCO2e.","El Informe 2025 desagrega y reporta por primera vez las emisiones de Alcance 1, 2 y 3 para el sector marítimo (Scope 1, 2: 0,5 MtCO2e; Scope 3: 2,5 MtCO2e). ",-,pag 99,
Standard Chartered,CRE,F,La intensidad de emisiones se redujo entre los informes de 2024 y 2025.,La intensidad bajó de 58 kgCO2e/m^2 en el Informe 2024 a 53 kgCO2e/m^2 en el Informe 2025. ,pag 82,pag 100,
Standard Chartered,CRE,F,El Informe 2025 reporta un ajuste en la cartera para favorecer ubicaciones europeas de baja intensidad eléctrica frente a los mercados de la ASEAN.,"El Informe 2025 menciona un cambio en la mezcla de ubicaciones de la cartera, con mayor exposición a edificios en países europeos (con redes eléctricas de menor intensidad) y menor peso en mercados de la ASEAN con intensidades más altas.",-,pag 104,
Standard Chartered,RRE,F,"Las emisiones disminuyeron de 36,0 a 34,2 kgCO2e/m^2 debido a la descarbonización de las redes eléctricas en mercados asiáticos clave.","El Informe 2024 reportó 36,0 kgCO2e/m^2. El Informe 2025 reporta 34,2 kgCO2e/m^2. Refleja el inicio de la descarbonización de las redes eléctricas en Hong Kong, Corea del Sur, Singapur y Taiwán.",pag 82,"pag 100
pag 107",
Standard Chartered,Coal,F,"Se registró una reducción en las emisiones absolutas, las cuales pasaron de 1,2 MtCO2e en el informe de 2024 a 1,1 MtCO2e en el de 2025.","Las emisiones absolutas bajaron de 1,2 MtCO2e en el Informe 2024 a 1,1 MtCO2e en el Informe 2025.  ",pag 82,pag 100,
Standard Chartered,Aluminium,D,"Se registró un incremento del 105% en la intensidad de emisiones (6,75 tCO2e/t) debido a préstamos a corto plazo otorgados a productores de aluminio con altos niveles de emisión.","El Informe 2024 reportó 3,28 tCO2e/t. El Informe 2025 reporta un incremento drástico del 105%, alcanzando los 6,75 tCO2e/t.El banco explica que este aumento se debió principalmente a un incremento en los préstamos a corto plazo a productores primarios de aluminio con altas intensidades de emisión, los cuales vencen en 2025. ",pag 82,pag102,
Standard Chartered,Agriculture,M,El ITR de la cartera se revisó al alza debido a una actualización en la metodología de puntuación de CDP.,"El Informe 2025 revisó el Implied Temperature Rise (ITR) de la cartera debido a una actualización de la metodología de CDP en las puntuaciones de temperatura por defecto, que subieron de 3,1°C a 3,4°C",-,pag 102,
Standard Chartered,Agriculture,D,"El Informe 2025 ajusta la línea base de 2023 a 2,96°C e incrementa el rango objetivo para 2030 a 2,4-2,6°C tras la revisión de CDP.","Debido a la revisión de CDP, el Informe 2025 redefine la línea base de 2023 de 2,72°C a 2,96°C, y eleva el rango objetivo para 2030 de 2,2-2,4°C (en Informe 2024) a 2,4-2,6°C",pag 84,pag 102,
Standard Chartered,Agriculture,F,"El Informe 2025 registra un ITR de 2,33°C, lo que representa una disminución del 21% en comparación con la nueva línea base establecida.","El Informe 2025 reporta un ITR actual de 2,33°C (datos 2024), una reducción del 21% respecto a la nueva línea base.",-,pag 102,
Citi,Oil&Gas,M,"El Informe 2024 integra emisiones financiadas y facilitadas, lo que provocó el recálculo de la línea base y los objetivos para 2030, reflejando una evolución en las emisiones totales pese al aumento de actividad en mercados de capitales.","En el Informe 2024, el objetivo ahora integra emisiones financiadas y facilitadas combinadas. La línea base se recalculó de 143.8 M mt CO2e (Informe 2023) a 168 M mt CO2e (Informe 2024) por inclusión de emisiones facilitadas en el cálculo del objetivo. El objetivo 2030 pasa de 102.1 M mt CO2e (Informe 2023) a 119.3 M mt CO2e (Informe 2024).
Además, se percibe una evolución 89.3 M mt CO2e en el año 2022 (Informe 2023) a 91.1 M mt CO2e en el año 2024 (Informe 2024) debido a una reducción absoluta por cambios en financiación y consolidación del sector, que compensaron el aumento de actividad en mercados de capitales.",pag 51,pag 35,
Citi,Power,F,"El Informe 2024 integra emisiones facilitadas en su métrica de intensidad física, la cual disminuyó a 246.5 kg CO2e/MWh debido a la mejora en el desempeño de los clientes.","El Informe 2024 incorpora las emisiones facilitadas en la métrica de intensidad física. El Informe 2023 había actualizado la metodología añadiendo financiación de ""tax equity"" y factores de la IEA para cubrir un 7% de brecha de datos en la cartera. La intensidad se redujo de 280.2 kg CO2e/MWh (Informe 2023) a 246.5 kg CO2e/MWh (Informe 2024), atribuido a la disminución de las intensidades de emisiones de los clientes.",pag 20,pag 17,
Citi,Steel,D,La puntuación de alineación disminuyó debido a ajustes en la financiación de la cartera entre 2023 y 2024.,La puntuación de alineación empeoró de 0.02 (Informe 2023) a 0.4 (Informe 2024) por cambios en la financiación de la cartera.,,,
Citi,Automotive,D,"Se incorporan emisiones facilitadas en el Informe 2024, resultando en un aumento de la intensidad física de 173 a 211 g CO2e/km debido a variaciones en la exposición de la cartera.",Se incluyen emisiones facilitadas en el Informe 2024 para la métrica de intensidad física. La intensidad se incrementó bruscamente de 173 g CO2e/km (Informe 2023) a 211 g CO2e/km (Informe 2024) por cambios en la exposición de la cartera.,,,
Citi,CRE,F,"La intensidad de emisiones disminuyó de 48 a 36.6 kg CO2e/m^2 gracias a la eficiencia energética y la descarbonización en EE. UU., ampliándose el alcance del informe a los centros de datos.","La intensidad mejoró de 48 kg CO2e/m^2 (Informe 2023) a 36.6 kg CO2e/m^2 (Informe 2024) debido a una mayor eficiencia energética y descarbonización de la red eléctrica en EE. UU.
El Informe 2024 identifica los centros de datos como nuevo tipo de activo a evaluar frente a trayectorias de descarbonización específicas, lo que amplia el perímetro.",,,
Citi,Coal,F,Reducción de la exposición financiera y de las emisiones de carbono en el sector debido a la implementación de la política ESRM.,La exposición disminuyó de $348 millones (Informe 2023) a $327 millones (Informe 2024). Las emisiones cayeron de 4 M mt CO2e (Informe 2023) a 0.97 M mt CO2e (Informe 2024) por aplicación de la política ESRM para reducir exposición al sector.,,,
Citi,Aluminium,M,"Se añadieron los sectores de aluminio, aviación, cemento y transporte marítimo durante el año 2024.","Nuevos sectores incorporados en 2024: Aluminium, Aviation, Cement y Shipping.",,,
Citi,Aviation,F,"Incorporación de un nuevo sector en 2024 junto a las industrias de aluminio, cemento y transporte marítimo.","Nuevo sector incorporado en 2024 junto a Aluminium, Cement y Shipping.",,,
Citi,Cement,F,"Se integró un nuevo sector en 2024 junto con los de aluminio, aviación y transporte marítimo.","Nuevo sector incorporado en 2024 junto a Aluminium, Aviation y Shipping.",pag 51,pag 35,
Citi,Shipping,F,"Citi incorporó un nuevo sector en 2024, sumándose a las industrias de aluminio, aviación y cemento.","Nuevo sector incorporado en 2024 junto a Aluminium, Aviation y Cement.",pag 51,pag 35,
Societe Generale,Oil&Gas,M,Ajuste metodológico en la línea base de emisiones absolutas,"Debido a un cambio de proveedor de datos y correcciones en los datos de clientes, la línea base de 2019 de emisiones absolutas y el objetivo a 2030 se han ajustado (la línea base pasó de 29,6 MtCO2eq en el informe 2025 a 24,8 MtCO2eq en el informe 2026 y el valor objetivo de2030 pasó de 8,9 MtCO2eq a 7,5MtCO2eq), aunque el porcentaje de reducción objetivo se mantiene en el -70%.",pag 306,pag 307,
Societe Generale,Power,F,Cumplimiento anticipado del objetivo de intensidad a 2030,"El indicador de intensidad de emisiones registró una fuerte caída, pasando de 114 gCO2/kWh en el Q2 de 2024 a 85 gCO2/kWh en el Q3 de 2025, superando ampliamente y con antelación el objetivo fijado para 2030 de 125 gCO2/kWh.",pag 306,"pag 307,404",
Societe Generale,Steel,D,Retroceso en el nivel de alineación de la cartera,"La puntuación de alineación de la cartera empeoró significativamente, pasando de -0,61 en el Q2 de 2024 (alineado) a +0,16 en el Q3 de 2025 (no alineado), alejándose del objetivo de 0 para 2030 debido a un contexto europeo menos favorable para los proyectos de acero verde.",pag 306,"pag 308,404",
Societe Generale,Automotive,N,Sin cambios significativos,Se mantiene el objetivo de reducción de intensidad de emisiones del 51% para 2030 respecto a 2021 sin modificaciones metodológicas ni desviaciones bruscas en su progreso.,pag 306,pag 404,
Societe Generale,Cement,N,Sin cambios significativos,No se reportan variaciones metodológicas ni cambios significativos en los objetivos de reducción de intensidad de emisiones (-20% para 2030 frente a 2022) entre ambos informes.,pag 306,"pag 307,404",
Societe Generale,Aviation,N,Sin cambios significativos,"El objetivo de reducción de la intensidad de emisiones se mantiene en un 18% para 2030 respecto a 2019, con una evolución normal del indicador que alcanzó una reducción del 14% en el Q3 de 2025.",pag 307,pag 404,
Societe Generale,Aluminium,M,Aumento aparente de intensidad por cambio de proveedor de datos,"La intensidad de emisiones de la cartera reportada aumentó de 6,9 tCO2/t en el Q2 de 2024 a 7,6 tCO2/t en el Q3 de 2025, un incremento que el banco atribuye principalmente a un cambio de proveedor de datos destinado a mejorar la calidad de la información.",pag 306,"pag 308,404",
Societe Generale,Shipping,F,Cumplimiento anticipado del objetivo de alineación a 2030,"La puntuación de alineación (Poseidon Principles) mejoró drásticamente pasando de +16,7% en 2023 a +7,9% a finales de 2024, superando con gran antelación el objetivo del +15% fijado para 2030.",pag 307,"pag 307,404",
Societe Generale,CRE,N,Sin cambios significativos,"Se confirma el objetivo de reducir la intensidad de emisiones de carbono en un 63% para 2030 respecto a los niveles de 2022, sin variaciones metodológicas ni reportes de cambios bruscos.",pag 307,pag 404,
Societe Generale,RRE,N,No reportado en ningún informe,El banco no reporta objetivos ni métricas de descarbonización específicos para este sector en ninguno de los dos informes analizados.,-,-,
Societe Generale,Coal,F/M,Endurecimiento de la política sectorial y clarificación de exenciones,"En marzo de 2025, la política sectorial de carbón térmico fue modificada para ampliar la definición de ""desarrolladores de carbón"", endurecer los umbrales de exclusión para productores de energía sin compromisos de abandono, y aclarar las exenciones otorgadas a operaciones de transición energética.",pag 310,pag 322,
Societe Generale,Agriculture,N,Sin cambios significativos,"Las políticas contra la deforestación implementadas en octubre de 2024 ya fueron recogidas en el informe de 2024, sin que se reporten nuevas variaciones ni objetivos cuantitativos de descarbonización en el informe de 2025.",pag 320,pag 375,
HSBC,Oil&Gas,M,"HSBC ajustó sus metas de reducción de emisiones para 2030, actualizó la línea base de 2019 .","El objetivo de reducción absoluta de emisiones para 2030 ha pasado de una meta fija del -34% a un rango objetivo del -14% al -30%, basado ahora en los escenarios APS y NZE 2024 de la IEA en sustitución del NZE 2021. El valor de la línea base (2019) se ha recalculado de 42,6 Mt CO2e a 46,2 Mt CO2e, un incremento del 8% por la inclusión de préstamos a corto plazo  una mejor identificación de la financiación de proyectos.
Las emisiones financiadas reportadas han pasado de 23,2 Mt CO2e en el informe anual 2024 a 28,9 Mt CO2e en el informe anual 2025, para el año 2023.",pag 52,pag 42,
