Banco,Orden,Icon,Título,Cuerpo,es_intro
Standard Chartered,2,info,Nuevo Objetivo de Emisiones Facilitadas,"Incorporación en el Informe 2025 del primer objetivo para emisiones facilitadas (mercado de capitales), centrado en Oil & Gas con un target de reducción del 26,9% para 2030.",FALSE
Standard Chartered,3,alert,Incremento Crítico en Aluminio,La intensidad del sector aluminio se disparó un 105% en el Informe 2025 debido a operaciones de préstamo a corto plazo con productores primarios altamente intensivos.,FALSE
Standard Chartered,4,warn,Reajuste del Objetivo de Agricultura,El Informe 2025 eleva tanto la línea base como el rango objetivo de temperatura (ITR) del sector tras actualizarse los factores de puntuación externos de CDP.,FALSE
Standard Chartered,5,warn,Cambio Metodológico en Alcance 3 de Oil & Gas,"El Informe 2025 restringe el cálculo del Scope 3 únicamente a las actividades de producción upstream, lo que ha forzado restatements en los datos del año anterior.",FALSE
Citi,0,-,-,"Citi muestra una evolución hacia la formalización regulatoria de su estrategia, ampliando significativamente su cobertura sectorial e integrando el impacto de sus actividades en mercados de capitales en sus metas principales.",TRUE
Citi,1,info,Expansión del Alcance de Objetivos,"Incorporación de cuatro sectores nuevos (Aluminio, Aviación, Cemento y Navegación), completando los diez sectores previstos en su estrategia de neutralidad.",FALSE
Citi,2,warn,Integración de Emisiones Facilitadas,"Cambio metodológico estructural en Energía, Power y Automotriz que integra actividades de mercados de capitales en el objetivo 2030, provocando un ajuste al alza de la línea base de Energía de 143.8 a 168 M mt CO2e.",FALSE
Citi,3,alert,Deterioro en Intensidad Automotriz,"Incremento significativo de la intensidad del sector de 173 a 211 g CO2e/km entre informes, justificado por cambios en la exposición de la cartera de clientes.",FALSE
Citi,4,info,Lanzamiento del Ratio ESFR,"Implementación de la métrica Energy Supply Financing Ratio con un resultado inicial de 0.36, midiendo la financiación de bajas emisiones frente a combustibles fósiles.",FALSE
Societe Generale,0,-,-,"Societe Generale muestra avances notables en su trayectoria de descarbonización, logrando cumplir de manera anticipada sus objetivos a 2030 en los sectores de Power y Shipping. No obstante, se observan retos significativos en sectores de difícil descarbonización como el acero, donde la cartera ha perdido su estatus de alineación, así como ajustes metodológicos en Oil & Gas y Aluminio motivados por cambios en los proveedores de datos para afinar la medición.",TRUE
Societe Generale,1,info,Cumplimiento anticipado de los objetivos en Power y Shipping,"El banco ha superado ampliamente sus metas para 2030 en dos sectores clave: en Power, la intensidad de emisiones bajó a 85 gCO2/kWh (frente al objetivo de 125 gCO2/kWh), y en Shipping la puntuación de alineación mejoró al +7,9% (superando el objetivo del +15%).",FALSE
Societe Generale,2,alert,Desalineación en el sector del Acero (Steel),"La puntuación de alineación de la cartera de acero ha sufrido un retroceso, pasando de un nivel alineado de -0,61 a un nivel no alineado de +0,16. El banco justifica esta desviación señalando que la descarbonización de su cartera depende del progreso de los proyectos de acero verde, cuyo contexto europeo es actualmente menos favorable.",FALSE
Societe Generale,3,warn,Ajustes metodológicos y de línea base en Oil & Gas y Aluminio,"Se han producido cambios metodológicos debido a la rotación de proveedores de datos y correcciones en los datos de los clientes. Esto ha provocado que la línea base de emisiones absolutas en Oil & Gas se ajuste a la baja (de 29,6 a 24,8 MtCO2eq) y que la intensidad reportada en Aluminio muestre un aumento aparente (de 6,9 a 7,6 tCO2/t) que no refleja un deterioro real de la cartera sino un cambio de medición.",FALSE
Societe Generale,4,info,Endurecimiento de la política sectorial de Carbón Térmico,"En marzo de 2025, el banco actualizó su política sectorial para el carbón térmico, ampliando la definición de ""desarrolladores de carbón"" y endureciendo los umbrales de exclusión para aquellos productores de energía que no hayan asumido un compromiso público de abandono progresivo, a la vez que se clarificaron las exenciones para operaciones de transición energética.",FALSE
HSBC,0,-,-,"La evolución de HSBC en 2025 refleja una reestructuración profunda de su estrategia de reporte, priorizando la flexibilidad mediante rangos objetivos y la actualización de datos recientes. Este movimiento mejora la precisión técnica pero dificulta la trazabilidad directa con los compromisos históricos del banco.",TRUE
HSBC,1,warn,Cambios metodológicos con impacto en comparabilidad,"Se han sustituido todos los objetivos de reducción fijos por ""rangos objetivos"", permitiendo al banco absorber desviaciones del escenario macroeconómico.",FALSE
HSBC,2,warn,Actualización transversal de escenarios climáticos,Se ha abandonado el uso exclusivo del escenario IEA NZE 2021 a favor de un enfoque apoyado en los escenarios IEA NZE y APS 2024.,FALSE
HSBC,3,warn,Cambios en el año base,"Se han actualizado las líneas de base de 2019 a 2023 en cinco de los siete sectores clave, reiniciando el contador de progreso acumulado.",FALSE
HSBC,4,alert,Sectores eliminados,El sector del aluminio ha sido eliminado del marco de objetivos de alineación debido a su escaso peso en el balance.,FALSE
HSBC,5,info,Cambio de métrica en Aviación,La transición del uso de pasajeros-kilómetro (rpk) a toneladas-kilómetro (rtk) representa un ajuste fundamental para cubrir de manera integral a las aerolíneas que transportan carga.,FALSE
NatWest,0,-,-,"NatWest ha demostrado una evolución hacia una mayor sofisticación técnica y ambición financiera, integrando riesgos climáticos de forma más estructural en sus políticas de riesgo mediante la creación de marcos sectoriales unificados. Sin embargo, el cambio recurrente en metodologías de medición y la adopción de escenarios de referencia más estrictos entre 2024 y 2025 dificulta la trazabilidad lineal del progreso real en sectores críticos como energía y acero.",TRUE
NatWest,1,alert,Abandono de la validación externa,"El banco ha retirado sus objetivos validados por SBTi, optando por un marco de diseño propio no validado por dicha iniciativa.",FALSE
NatWest,2,info,Salto en la ambición financiera,"El objetivo de financiación climática y de transición se ha duplicado, pasando de un compromiso de 100.000 millones de libras para 2025 a una nueva meta de 200.000 millones de libras para finales de 2030.",FALSE
NatWest,3,warn,Incomparabilidad en el sector Power,"La transición hacia ""objetivos basados en la actividad a nivel de cartera"" en la generación eléctrica ha invalidado la comparación directa con los datos de años anteriores.",FALSE
NatWest,4,info,Formalización del objetivo en Oil & Gas,"El banco ha pasado de un seguimiento cualitativo a establecer un objetivo cuantitativo de reducción de intensidad física del 13% para 2030, fijando además el año 2023 como nuevo año base de referencia.",FALSE
NatWest,5,warn,Endurecimiento de escenarios industriales,"La senda de alineación para el sector del acero se ha vuelto más exigente al migrar del escenario IEA SDS al IEA Net Zero Emissions (NZE) 2050, contribuyendo a una reducción de la intensidad física reportada de 1.48 tCO2e/t a 1.41 tCO2e/t.",FALSE
Barclays,0,-,-,"La evolución general del banco en su estrategia de descarbonización presenta resultados mixtos, alternando el perfeccionamiento de sus metodologías de medición con retrocesos reales en sectores clave de su cartera. Aunque se evidencian ajustes orientados a reflejar con mayor exactitud las líneas base y la alineación con escenarios climáticos más estrictos, el repunte de emisiones absolutas en industrias pesadas y de combustibles fósiles representa un desafío directo para su trayectoria hacia las cero emisiones netas.",TRUE
Barclays,1,warn,Ajuste metodológico en carteras inmobiliarias y de energía,"Se han recalculado las intensidades iniciales en los sectores Power, Commercial Real Estate y Residential Real Estate, afectando directamente a la comparabilidad histórica de los datos reportados.",FALSE
Barclays,2,info,Consolidación de escenarios climáticos,"Eliminación del escenario de referencia IEA SDS para el sector Power, apoyándose ahora de manera exclusiva en el escenario más ambicioso IEA NZE 2050.",FALSE
Barclays,3,alert,Volatilidad extrema en la industria del cemento,"Fuerte incremento interanual en las emisiones absolutas financiadas en el sector Cement, que prácticamente se duplican al pasar de 0,8 MtCO2e a 1,5 MtCO2e.",FALSE
Barclays,4,alert,Deterioro en la transición energética,"Empeoramiento claro en la trayectoria del sector Oil & Gas (Upstream Energy), donde la reducción acumulada cae del -45% al -41% debido a un repunte en el volumen de las emisiones absolutas.",FALSE
Sabadell,0,-,-,"Banco Sabadell muestra un avance general en su estrategia de descarbonización, logrando reducciones notables de intensidad en sectores clave. Al integrar las explicaciones de la entidad, se hace evidente que las volatilidades en los indicadores de seguimiento responden en gran medida a la alta concentración de ciertas carteras y a desajustes temporales en la disponibilidad de datos de los clientes.",TRUE
Sabadell,1,alert,Caída excepcional en el sector eléctrico,"La intensidad física se ha desplomado a 40 Kg CO2e/MWh, rebasando anticipadamente el límite inferior del rango objetivo (45-85) gracias al peso del project finance renovable.",FALSE
Sabadell,2,warn,Repunte justificado en petróleo y gas,El aumento de emisiones hasta 5.277 Kt CO2e (frente a las 4.820 Kt CO2e previas) subraya la sensibilidad de la huella absoluta ante nuevas disposiciones puntuales de crédito comercial.,FALSE
Sabadell,3,alert,Impacto de la concentración en aluminio y carbón,"La subida atípica de intensidad en aluminio (+9,8%) y el repunte de exposición en carbón (de 0,1 a 1,7 M€) demuestran que, en carteras pequeñas o muy concentradas, las líneas de circulante o los cambios de mix distorsionan significativamente la tendencia hacia 2030.",FALSE
Sabadell,4,warn,Desfase de datos en Shipping,"El empeoramiento del Alignment Delta al +28% evidencia los retos actuales en la calidad del dato ESG, obligando al banco a usar rezagos de un año (datos 2023 para estimar 2024).",FALSE
Sabadell,5,info,Avance pronunciado en automoción,La mejora abrupta hasta los 183 gCO2e/vkm valida la estrategia de reasignación de cartera hacia grupos automovilísticos con planes de transición más agresivos.,FALSE
Intesa Sanpaolo,0,-,-,"La evolución del banco en su proceso de descarbonización durante 2024 y 2025 muestra un esfuerzo constante por refinar sus metodologías y alinearse con escenarios más actualizados, destacando la reciente validación de sus objetivos por parte de SBTi. Se observa una tendencia general a la baja en la mayoría de las intensidades físicas y emisiones absolutas, fuertemente condicionada por reajustes en el volumen de exposición de la cartera.",TRUE
Intesa Sanpaolo,1,info,Renovación generalizada de escenarios de referencia,"El banco actualizó sistemáticamente los benchmarks de la Agencia Internacional de la Energía (de las versiones 2023/2024 a la 2025) para los sectores de Power, Oil & Gas, Cement, Steel y Automotive.",FALSE
Intesa Sanpaolo,2,info,Cumplimiento del phase-out en carbón,"En 2025, el banco logró su objetivo de exposición cero a contrapartes de minería de carbón (manteniendo solo un importe residual dudoso), llevando las emisiones financiadas de 0.1 Mt CO2e a 0.0 Mt CO2e.",FALSE
Intesa Sanpaolo,3,alert,Fuerte reducción en el sector del aluminio,"La intensidad física experimentó una gran caída de 4.38 tCO2e/t en 2024 a 3.03 tCO2e/t en 2025, a la vez que las emisiones absolutas pasaron de 0.4 a 0.1 Mt CO2e, traccionado por un notable recorte a la mitad en la exposición financiera del sector.",FALSE
Intesa Sanpaolo,4,warn,Volatilidad al alza en la intensidad del acero y las emisiones agrícolas,"A pesar de mantener estables los montos de la cartera, la intensidad física del hierro y el acero repuntó de 0.82 a 0.90 tCO2/t, mientras que las emisiones absolutas en agricultura subieron de 0.7 a 0.9 Mt CO2e.",FALSE
Intesa Sanpaolo,5,info,Innovación en métricas del sector acerero,Se introdujo en 2025 un enfoque novedoso de financiación dedicada en el sector del acero para aislar y contabilizar de manera distinta transacciones específicas de transición tecnológica frente a los préstamos corporativos generales.,FALSE
Nordea,0,-,-,"Nordea muestra un avance continuo en su estrategia de descarbonización hacia las cero emisiones netas, logrando reducciones reales en sectores clave como Power, Oil & Gas y Shipping. Sin embargo, el periodo analizado destaca por una profunda revisión metodológica y de calidad de datos que ha provocado recálculos masivos en las líneas base de múltiples carteras, lo que redefine los puntos de partida y dificulta la comparabilidad directa de las métricas de intensidad frente al ejercicio anterior.",TRUE
Nordea,1,alert,Recálculo metodológico en Agricultura,"El ajuste del año base disminuye drásticamente la métrica inicial de 758 tCO2e/EURm a 363 tCO2e/EURm, transformando la trayectoria del sector de una reducción continua a un ligero aumento del 1,4%.",FALSE
Nordea,2,alert,Descenso abrupto en Oil & Gas,"Las emisiones absolutas reales se han desplomado hasta 0,01 MtCO2e frente a los 0,7 MtCO2e previos, consolidando una impresionante reducción del 99,6% por la salida sistemática de clientes y rebalanceo de la cartera.",FALSE
Nordea,3,warn,Corrección a la baja en Residential Real Estate,"La intensidad de la línea base de 2019 se ajustó significativamente de 17,4 kgCO2e/m2 a 12,2 kgCO2e/m2 como consecuencia directa de mejoras en las fuentes de datos y certificados EPC.",FALSE
Nordea,4,alert,Fuerte descenso no orgánico en Commercial Real Estate,"La intensidad de emisiones reportada se redujo drásticamente de 28 kgCO2e/m2 a 13 kgCO2e/m2, logrando mejoras sustanciales en la métrica gracias a la actualización de datos EPC pese a un aumento real en la exposición crediticia.",FALSE
Nordea,5,alert,Descenso acelerado en Power,"Las emisiones absolutas del sector cayeron a más de la mitad, de 797.501 tCO2e a 361.603 tCO2e, en un contexto donde el volumen de la cartera crediticia experimentó un claro crecimiento.",FALSE
Caixabank,0,-,-,"La evolución general de CaixaBank hacia la descarbonización muestra avances acelerados en los sectores energéticos (Power y Oil & Gas) superando con creces los objetivos a 2030 , pero presenta estancamientos e incluso retrocesos severos en sectores vinculados a cambios regulatorios externos como Automoción o con problemas de datos proxy como el Inmobiliario Comercial . A nivel metodológico, la base es consistente, aunque afloran discrepancias numéricas puntuales en el recálculo histórico de ciertos años.",TRUE
Caixabank,1,alert,Empeoramiento severo y discrepancia en el sector Automoción,"Se ha constatado un aumento alarmante en la intensidad de emisiones del sector automovilístico en 2025 (163,9 gCO2/vkm), superando incluso el nivel del año base (154 gCO2/vkm) debido a la flexibilización normativa en Europa , a lo que se suma una alteración retroactiva del dato de 2023 sin mayor justificación en el último reporte.",FALSE
Caixabank,2,info,Superación anticipada de objetivos a 2030,"Las carteras de generación eléctrica y de petróleo y gas han experimentado caídas drásticas en sus métricas absolutas e intensidades físicas, situándose ambas en el ejercicio 2025 por debajo del objetivo final que el banco se había marcado alcanzar dentro de cinco años.",FALSE
Caixabank,3,warn,Retroceso en Inmobiliario Comercial derivado de proxies,"El banco reporta una subida a 21 kgCO2e/m2 en su cartera inmobiliaria comercial en 2025 que sobrepasa el punto de partida original (20,5 kgCO2e/m2), motivada no por un aumento real de emisiones sino por un ajuste metodológico en la estimación de datos proxy ante la falta de certificados reales.",FALSE
Caixabank,4,info,Ajuste silencioso de datos históricos en Power,"Durante el cruce de reportes se ha identificado una modificación retroactiva del dato de intensidad correspondiente al ejercicio 2022 para el sector eléctrico, pasando de los 116 kgCO2e/MWh reportados en 2024 a 118 kgCO2e/MWh en 2025, sugiriendo recálculos internos que afectan la trazabilidad pública de la métrica",FALSE
Deutsche Bank,0,-,-,"Deutsche Bank ha mostrado un sólido avance en la reducción de intensidades físicas en la mayoría de sus sectores objetivo, como Power y Automotrices. No obstante, enfrenta presiones y volatilidad al alza en sectores específicos como Carbón y Cemento. Los cambios en los criterios de consolidación de datos y la eliminación de compromisos contingentes han alterado notablemente los registros del balance de emisiones financiadas corporativas.",TRUE
Deutsche Bank,1,warn,Exclusión de compromisos contingentes y restructuración de emisiones,"En el informe 2025, el banco introdujo un cambio metodológico estructural de alto impacto al excluir por completo el compromiso de emitir contingentes de la frontera del portafolio corporativo. Esta optimización modificó retroactivamente los datos correspondientes a fines de 2024, reduciendo las emisiones financiadas reportadas en 5.8 MtCO2e/y para los Alcances 1 y 2, y en un severo 81.4 MtCO2e/y para el Alcance 3.",FALSE
Deutsche Bank,2,alert,Incremento de emisiones financiadas en el sector Carbón,"A pesar de los compromisos globales de reducción en combustibles fósiles, las emisiones financiadas absolutas de Alcance 3 en la minería de carbón aumentaron de 4.6 MtCO2/y a 5.3 MtCO2/y entre ambos informes. Este retroceso del 16% es atribuido a la actividad crediticia de financiamiento a corto plazo dirigida a un único cliente.",FALSE
Deutsche Bank,3,warn,Recalibración metodológica a la baja de la línea base en Power,"El banco aplicó una profunda reconfiguración en el sector energético al integrar de manera más precisa a pequeñas entidades generadoras y sustraer los compromisos contingentes. Como resultado directo, la intensidad física del año base 2021 se ajustó a la baja de 396 kgCO2e/MWh a 367 kgCO2e/MWh, y el objetivo intermedio fijado para 2030 se volvió más estricto al reducirse de 124 kgCO2e/MWh a 114 kgCO2e/MWh.",FALSE
Deutsche Bank,4,info,Ampliación del Alcance 3 e inclusión de emisiones facilitadas,"Con la finalidad de aumentar la transparencia en sus actividades del mercado de capitales, Deutsche Bank expandió en su informe 2025 las métricas de la categoría 15 incorporando las emisiones facilitadas bajo la metodología estándar de PCAF de diciembre de 2023. Para mitigar la volatilidad inherente al volumen de estructuración de transacciones, el banco comenzó a divulgar promedios móviles de 5 años, reportando un total de emisiones facilitadas de 8.5 MtCO2/y (Alcance 1 y 2) y 118.1 MtCO2/y (Alcance 3) para el ejercicio 2024.",FALSE
Deutsche Bank,5,warn,Resistencia y persistencia de desvíos en el sector Cemento,"El sector de cemento continúa posicionándose como un área crítica con serias dificultades tecnológicas de mitigación. Las intensidades físicas reportadas se ubicaron en 749 kgCO2e/t de cemento en el informe 2025, lo que representa un persistente desvío al alza del 11% frente a los valores recalculados de su línea base de 2022 (678 kgCO2e/t), debido al tamaño reducido de la cartera que limita una gestión de rebalanceo activa.",FALSE
Bancolombia,0,-,-,"Bancolombia evidencia un robustecimiento formal en sus políticas sectoriales de descarbonización y en la consolidación de sus metas validadas por SBTi. No obstante, se detectan desafíos en el mantenimiento de la consistencia de los datos históricos expuestos y vulnerabilidad de las metas de intensidad energética frente a choques climáticos externos.",TRUE
Bancolombia,1,warn,Desviación en metas de intensidad del sector energético por El Niño.,"La intensidad de emisiones del sector energético alcanzó 0,24 tCO2e/MWh en el reporte de 2025, superando significativamente la meta establecida para el año 2024 de 0,161 tCO2e/MWh debido al incremento involuntario de la generación térmica en Colombia detonada por la emergencia climática de El Niño.",FALSE
Bancolombia,2,warn,Discrepancias en datos históricos de exposición de cartera 2024,"Se identificaron variaciones numéricas en los balances asignados al año 2024 entre ambos reportes, evidenciando que el sector de petróleo y gas aumentó de 1,11% a 1,65% y el sector cemento se redujo de 0,29% a 0,16%.",FALSE
Bancolombia,3,info,Refinamiento metodológico con desglose de la industria automotriz,"El informe de 2025 introdujo una separación explícita para la industria automotriz asignándole un 1,32% de la exposición de la cartera, lo que incrementa la transparencia y especificidad del análisis frente al informe de 2024, donde dicho sector se diluía dentro del agregado general de transporte.",FALSE
Bancolombia,4,info,Incorporación de criterios de transición justa para el carbón térmico,"Durante el ejercicio 2025, el banco fortaleció su Política de Riesgos ESG al añadir principios y criterios técnicos para evaluar la financiación de planes de transición climática en los sectores de carbón térmico y generación carbonera, complementando la meta de eliminación total trazada para el año 2030.",FALSE
UniCredit,0,-,-,"UniCredit muestra una consolidación positiva en la integración de sus compromisos climáticos dentro de los procesos de gestión de riesgos y planificación financiera del grupo. El banco ha logrado reducciones consistentes en los niveles de intensidad y emisiones de su cartera activa, situándose en varios de los sectores clave por debajo de las metas intermedios fijadas para 2030.",TRUE
UniCredit,1,warn,Inclusión de bonos corporativos y recálculo de líneas base,"En el informe de 2025, UniCredit implementó un cambio metodológico de gran relevancia al incorporar los títulos de bonos en el perímetro de medición para los sectores de Power Generation y Oil & Gas. Esto provocó un recálculo retroactivo de las líneas base del año 2021, alterando los valores comparativos previos respecto a los reportados en el informe de 2024.",FALSE
UniCredit,2,info,Transparencia obligatoria mediante EPC en el sector inmobiliario,"Con el objetivo de perfeccionar la calidad y reducir el alto volumen de datos estimados en sus carteras de Real Estate, UniCredit anunció en su informe de 2025 la obligatoriedad de recopilar Certificados de Rendimiento Energético (EPC) reales para las nuevas operaciones de Commercial y Residential Real Estate, lo que supone un avance en la transparencia frente al informe de 2024.",FALSE
UniCredit,3,info,Compromisos futuros y desarrollo de políticas para Agricultura,"UniCredit modificó sustancialmente su enfoque hacia el sector agrícola en el informe de 2025 al detallar planes concretos para estructurar directrices internas de prácticas sostenibles, un programa de formación enfocado en el sector para empleados en 2026 y la creación de una política formal sectorial, superando la postura inicial de monitoreo pasivo del informe de 2024.",FALSE
Lloyds Banking Group,0,-,-,Lloyds Banking Group demuestra madurez metodológica en su estrategia de transición climática al profundizar el enfoque sistémico y de integración con la naturaleza (biodiversidad). Se evidencia un progreso sustancial con un descenso del 36% en las emisiones financiadas absolutas y una rápida y proactiva recalibración de sus portafolios más pesados para alinearse estrictamente con las nuevas políticas nacionales británicas.,TRUE
Lloyds Banking Group,1,warn,Transición metodológica hacia el Séptimo Presupuesto de Carbono,"El banco actualizó los modelos de fijación de objetivos de emisiones financiadas para las carteras de hipotecas residenciales, sector inmobiliario comercial, agricultura, transporte de pasajeros y automóviles en el informe 2025 para ajustarse a las nuevas exigencias del Séptimo Presupuesto de Carbono publicado por el CCC, modificando la línea base técnica sustentada en el Sexto Presupuesto durante el ejercicio de 2024.",FALSE
Lloyds Banking Group,2,warn,Restricción en los criterios de financiamiento de automoción sostenible,"Desde enero de 2025, el grupo endureció los criterios de elegibilidad de su meta de financiación de vehículos sostenibles, excluyendo los vehículos híbridos enchufables para enfocarse únicamente en eléctricos puros, lo que representa un cambio de alcance material respecto al perímetro reportado en el informe 2024.",FALSE
Lloyds Banking Group,3,info,Integración pionera de pilotos del marco TNFD LEAP,"Para fortalecer el análisis de los riesgos y dependencias relacionados con la naturaleza (biodiversidad), el banco completó en 2025 una prueba de concepto piloto alineada con el marco TNFD LEAP focalizada en sus carteras de préstamos Inmobiliarios y Agrícolas, un avance analítico que no estaba presente en la planificación del informe 2024.",FALSE
Lloyds Banking Group,4,info,Caída del 36% en emisiones financiadas absolutas y récord en hipotecas verdes,"El grupo reportó un desempeño interanual altamente positivo reduciendo sus emisiones financiadas consolidadas a 18.6 MtCO2e (caída del 36% frente a 2018) según el informe 2025, impulsado por un crecimiento extraordinario en su cartera de hipotecas sostenibles (EPC A y B) que escaló a £18.5 mil millones en 2025  frente a los £11.4 mil millones acumulados el año anterior",FALSE
Lloyds Banking Group,5,info,Cronograma definitivo de salida del carbón térmico corporativo,"En un importante refuerzo a sus compromisos de exclusión, la hoja de ruta del informe 2025 anunció formalmente la meta de salir en su totalidad de cualquier entidad operadora de instalaciones de carbón térmico para el año 2030, ampliando exitosamente el cese al financiamiento directo a energía de carbón del Reino Unido ya logrado a fines de 2023.",FALSE
Akbank,1,-,-,"Akbank muestra una evolución positiva en su estrategia de descarbonización entre los informes 2024 y 2025: mantiene sin cambios los cinco objetivos cuantitativos sectoriales (energía -60%, cemento -23,8%, acero -29%, inmuebles comerciales -40,8%, residenciales -49,3%), todos referenciados al año base 2021 y al escenario IEA NZE2050, y amplía sustancialmente el alcance de sus evaluaciones de cartera —pasando de 122 a 516 empresas evaluadas— gracias al lanzamiento del Green Transformation Score. No obstante, se detectan retrocesos de visibilidad en sectores como aluminio, agricultura, transporte y oil & gas, que desaparecen del sistema de evaluación individual de clientes en 2025. La salida de la NZBA en 2025 y la corrección de un dato incorrecto en el informe 2024 son elementos que merecen atención.",TRUE
Akbank,2,warn,Corrección de dato incorrecto de PCAF Data Quality en Commercial Real Estate entre informes,"El informe 2025 reconoce expresamente que el dato de PCAF Data Quality para Commercial Real Estate publicado en el informe 2024 era incorrecto: se reportó 3,7 y debería haber sido 4,0. Esta discrepancia entre informes afecta a la comparabilidad de la calidad de datos de la cartera y pone de manifiesto debilidades en el proceso de revisión del informe 2024.",FALSE
